Model,Kilometers Driven,Year,Owner,Fuel Type,Transmission,Insurance,number_of_photos,Car Condition,Selling Price
RenaultKwid,39278,2016,Second Owner,Petrol,MANUAL,21/11/2021,8,42,432
MarutiAltoK10,36245,2017,First Owner,Petrol,MANUAL,23/09/2021,11,47,309999
HyundaiElitei20SPORTZ,61923,2015,First Owner,Petrol,MANUAL,Expired,15,44,518099
MarutiZenEstilo,39612,2010,Third Owner,Petrol,MANUAL,13/06/2021,2,42,211799
MarutiCelerioZXI,58558,2015,First Owner,Petrol,AUTOMATIC,09/11/2021,5,43,332627
MarutiSwiftDzireVDIBS,72553,2013,First Owner,Diesel,MANUAL,Expired,8,44,477214
MarutiBalenoALPHA1.2,13931,2018,First Owner,Petrol,MANUAL,08/04/2021,23,49,669899
MarutiSwiftVDI,48780,2016,Second Owner,Diesel,MANUAL,04/04/2021,4,47,447799
TataTiagoXT1.2,86339,2016,First Owner,Petrol,MANUAL,Expired,8,43,318699
MahindraBoleroPower+,25376,2018,First Owner,Diesel,MANUAL,16/10/2021,8,47,840899
HyundaiElitei20MAGNA1.4,15683,2017,First Owner,Petrol,AUTOMATIC,03/04/2021,7,48,667699
MarutiSX4,117838,2011,First Owner,Diesel,MANUAL,15/06/2021,5,41,210799
MarutiBalenoDELTA1.2K12,28083,2017,First Owner,Petrol,AUTOMATIC,26/09/2021,5,48,573999
MarutiSwiftVXI,45714,2010,Second Owner,Petrol,MANUAL,Expired,8,41,315099
HondaCityVMT,50615,2011,First Owner,Petrol,MANUAL,08/10/2021,10,44,319399
MahindraXUV500W8,59608,2012,First Owner,Diesel,MANUAL,30/04/2021,7,41,441699
HyundaiVENUE1.4CRDIMT,2823,2019,First Owner,Diesel,UP32,Zero_Dep,9,49,991699
MarutiSwift,141644,2012,First Owner,Petrol,MANUAL,28/07/2021,11,42,260699
ToyotaEtiosLiva,105493,2013,Second Owner,Diesel,MANUAL,23/07/2021,4,44,311899
Hyundaii20MAGNAO1.4,83767,2012,First Owner,Diesel,MANUAL,03/05/2021,9,42,363099
MarutiAltoK10VXI,11362,2015,First Owner,Petrol,KA01,Comp,21,48,375799
MarutiSwift,61365,2012,Second Owner,Diesel,MANUAL,01/08/2021,3,48,341399
FordEcosport1.5TITANIUMTI,87581,2014,First Owner,Petrol,MANUAL,09/01/2022,13,43,486599
MarutiSwift,96637,2012,Second Owner,Diesel,MANUAL,14/10/2021,8,42,292399
Hyundaii10SPORTZ1.2,76177,2012,First Owner,Petrol,MANUAL,11/04/2021,4,49,227299
HondaBrio1.2VMTI,33953,2013,Second Owner,Petrol,MANUAL,29/11/2021,13,42,352699
MarutiErtigaZXISMARTHYBRID,17435,2019,First Owner,Petrol,HR03,Third_party,18,49,840799
HondaCityVXMT,89834,2014,First Owner,Diesel,MANUAL,15/02/2021,5,42,467199
HondaCityVXMT,83278,2014,First Owner,Diesel,MANUAL,16/05/2021,4,46,606099
MarutiAlto800,49275,2013,First Owner,Petrol,MANUAL,Expired,12,42,180996
MarutiAltoK10VXI,19138,2016,First Owner,Petrol,MH12,Comp,8,45,323699
HondaBrio1.2VMTI,62852,2012,Second Owner,Petrol,MANUAL,07/05/2021,13,41,219168
MahindraScorpioS6,47310,2016,First Owner,Diesel,MANUAL,08/06/2021,8,44,1045899
HyundaiVENUE1.0LTurboGDISX(O),8701,2019,First Owner,Petrol,MH04,Zero_Dep,15,48,977199
MarutiAlto800,8393,2019,First Owner,Petrol,MANUAL,17/04/2021,16,48,332699
HondaAccord2.4ATI,188777,2010,First Owner,Petrol,AUTOMATIC,11/09/2021,4,42,282699
ToyotaCorollaAltis,52544,2014,Second Owner,Petrol,MANUAL,07/08/2021,14,43,671199
VolkswagenPoloHIGHLINE1.2L,33913,2014,First Owner,Petrol,MANUAL,26/07/2021,15,42,407999
MarutiRitz,44432,2013,Second Owner,Diesel,MANUAL,04/01/2021,6,44,240099
MarutiAltoK10,59096,2010,First Owner,Petrol,MANUAL,Comp,3,43,142999
HyundaiVernaFLUIDIC1.6SXVTVT,82265,2011,First Owner,Petrol,MANUAL,31/07/2021,5,42,422699
HyundaiGrandi10SPORTS1.2,39422,2013,First Owner,Petrol,MANUAL,Expired,6,44,418699
MarutiWagonR1.0,60412,2012,First Owner,Petrol,MANUAL,01/04/2021,21,42,345999
HondaCitySMT,83050,2011,First Owner,Petrol,MANUAL,28/09/2021,6,45,313900
HyundaiSantroXingGL,111397,2013,First Owner,Petrol,MANUAL,Expired,5,43,195800
VolkswagenVentoHIGHLINE,71219,2012,First Owner,Diesel,MANUAL,24/07/2021,13,43,301074
MarutiAltoK10,30539,2015,First Owner,Petrol,MANUAL,03/04/2021,6,45,264397
MarutiSwiftZDI,35067,2018,First Owner,Diesel,MANUAL,27/08/2022,12,48,723699
MarutiAltoK10,64058,2012,First Owner,Petrol,MANUAL,26/09/2021,5,42,277499
MarutiErtiga,54397,2012,First Owner,Diesel,MANUAL,Expired,6,44,385699
MarutiCelerioVXI,95945,2015,First Owner,Petrol + CNG,MANUAL,01/08/2021,8,45,347799
MarutiAltoK10VXI(O),2610,2018,Second Owner,Petrol,MH01,Zero Depreciation,8,49,368481
MarutiSwift,164127,2012,First Owner,Diesel,MANUAL,14/01/2021,8,45,315999
Hyundaii10MAGNA,68478,2008,First Owner,Petrol,MANUAL,20/01/2021,7,44,160099
HyundaiElitei201.2MAGNAPLUS,15086,2019,First Owner,Petrol,KA53,Comp,5,48,693799
HyundaiEonMAGNA,41513,2013,First Owner,Petrol,MANUAL,18/08/2021,5,41,263199
MarutiAltoK10,70973,2011,First Owner,Petrol,MANUAL,01/01/2021,13,43,270899
MarutiAltoK10,27570,2018,First Owner,Petrol,MANUAL,29/07/2021,9,48,338699
HondaCityV,42481,2012,Second Owner,Petrol,AUTOMATIC,30/01/2021,3,4,420999
HondaCitySMT,73247,2012,Third Owner,Petrol,MANUAL,16/12/2021,2,45,410399
MarutiAlto,3710,2020,First Owner,Petrol,MANUAL,10/06/2021,4,49,367599
VolkswagenVentoHIGHLINE,84630,2011,First Owner,Petrol,MANUAL,Expired,3,41,255099
MarutiBalenoDELTA1.2,15615,2018,First Owner,Petrol,MANUAL,29/08/2021,6,49,681999
MarutiSwiftDzireVXI1.2BS,15248,2011,First Owner,Petrol,MANUAL,18/02/2021,27,46,313774
MarutiAltoK10,45362,2012,Second Owner,Petrol,MANUAL,28/09/2021,15,42,156499
HyundaiVernaFLUIDIC1.6SXCRDI,41856,2013,First Owner,Diesel,MANUAL,22/08/2021,9,44,521499
MahindraScorpioS6,43867,2016,First Owner,Diesel,MANUAL,13/09/2021,9,47,977099
Hyundaii20MAGNA1.2,68656,2009,Third Owner,Petrol,MANUAL,Expired,1,4,222
MarutiSwiftDzireLXI1.2BS,173110,2013,First Owner,Petrol + CNG,MANUAL,Expired,17,42,456299
ToyotaEtios,114409,2011,First Owner,Diesel,MANUAL,31/01/2021,11,42,235499
NissanMicraXVPREMIUM,72949,2012,First Owner,Diesel,MANUAL,23/09/2021,10,4,348540
MarutiZenEstilo,43196,2010,Second Owner,Petrol,MANUAL,20/08/2021,3,4,222252
MarutiAltoK10,50294,2014,First Owner,Petrol,MANUAL,04/10/2021,4,44,305199
HyundaiGrandi10SPORTZ(O)1.2AT,85389,2017,First Owner,Petrol,MH05,Comp,6,45,492599
MarutiAlto,102742,2009,First Owner,Petrol,MANUAL,10/12/2021,5,4,236300
VolkswagenPoloHIGHLINE1.2L,114877,2014,First Owner,Diesel,MANUAL,28/06/2021,4,44,283399
MarutiWagonR1.0LXICNG,20570,2017,Second Owner,Petrol + CNG,MANUAL,Expired,4,45,424099
MarutiVitaraBrezza,37265,2019,First Owner,Diesel,MANUAL,31/01/2022,8,48,779699
MarutiVitaraBrezza,39833,2019,First Owner,Diesel,MANUAL,12/09/2022,12,43,756299
HondaAmaze1.2SMTI,58944,2013,Second Owner,Petrol,MANUAL,20/06/2021,5,43,345499
HyundaiVernaFLUIDIC1.6SX,119265,2013,First Owner,Petrol,MANUAL,08/05/2021,24,42,354799
HyundaiGrandi10ASTAAT1.2KAPPA,90217,2016,First Owner,Petrol,MANUAL,08/10/2021,21,4,443499
ToyotaInnova2.5GX8STRBS,147140,2013,First Owner,Diesel,MANUAL,28/11/2021,3,43,787499
HyundaiElitei20ASTA,35045,2017,First Owner,Petrol,MANUAL,04/12/2021,6,46,595299
HondaAmaze1.2SMTI,38790,2014,First Owner,Petrol,MANUAL,23/11/2021,10,45,397299
MarutiAlto800,8105,2018,First Owner,Petrol,MANUAL,29/10/2021,17,49,309399
Hyundaii20MAGNAO1.4,78618,2013,First Owner,Diesel,MANUAL,15/09/2021,3,4,406788
HyundaiSantroXing,63586,2008,First Owner,Petrol,MANUAL,23/01/2022,17,43,116766
MarutiSwift,34459,2013,First Owner,Petrol,MANUAL,02/09/2021,17,43,406799
MarutiBalenoDELTA1.2,40382,2017,Second Owner,Petrol,MANUAL,27/03/2021,8,46,551799
DatsunRediGo,31153,2016,Second Owner,Petrol,MANUAL,25/08/2021,5,44,184383
HondaBrio1.2SMTI,43469,2012,First Owner,Petrol,MANUAL,17/09/2021,11,42,306499
HondaCityVMT,148906,2009,Second Owner,Petrol,MANUAL,28/07/2021,18,36,227399
HondaCity1.5V,12538,2019,First Owner,Petrol,MANUAL,13/06/2021,11,48,910099
MarutiSwift,53390,2013,First Owner,Petrol,MANUAL,15/09/2021,2,47,428599
HyundaiGrandi10SPORTZ1.2KAPPA,65299,2014,Second Owner,Petrol,MANUAL,02/07/2021,4,44,410740
MarutiAlto800,39630,2016,First Owner,Petrol,MANUAL,Expired,9,43,225899
MarutiSwiftDzireVXI1.2BS,70252,2011,First Owner,Petrol,MANUAL,20/10/2021,6,42,335199
Hyundaii20MAGNAO,55760,2011,First Owner,Petrol,MANUAL,15/02/2021,5,41,221899
RenaultLodgy110PSRXZ8,34812,2015,First Owner,Diesel,MANUAL,02/08/2021,10,43,503799
MarutiAlto,57895,2007,Second Owner,Petrol + CNG,MANUAL,03/02/2021,6,42,78799
Hyundaii20MAGNAO,84826,2010,First Owner,Petrol,MANUAL,Comp,9,43,211699
MarutiSwift,31999,2012,First Owner,Petrol,MANUAL,Expired,7,47,562599
HyundaiGrandi10SPORTZ1.2KAPPA,13349,2016,First Owner,Petrol,MANUAL,08/01/2021,7,44,451699
ChevroletCruzeLTZ,98989,2011,First Owner,Diesel,AUTOMATIC,Expired,4,48,325199
RenaultKwid,5160,2018,First Owner,Petrol,MANUAL,29/01/2022,7,49,765
MarutiVitaraBrezzaZDI,28572,2018,First Owner,Diesel,MANUAL,30/07/2021,7,49,951099
HyundaiXcentS,75891,2014,First Owner,Petrol,MANUAL,31/12/2020,10,43,336099
HondaCityV,113241,2012,First Owner,Petrol,AUTOMATIC,27/02/2021,5,41,391499
MarutiWagonR1.0,17101,2018,First Owner,Petrol,MANUAL,Expired,4,47,343899
HyundaiVernaFLUIDIC1.6SX,84048,2012,First Owner,Diesel,MANUAL,19/07/2021,11,44,322999
FordEcosport1.5TITANIUM,152554,2014,First Owner,Diesel,MANUAL,14/06/2021,9,44,439299
ToyotaEtiosLivaGD,97467,2013,First Owner,Diesel,MANUAL,10/11/2021,9,46,393660
MarutiNewWagon-RLXI1.0,13185,2019,First Owner,Petrol,DL5C,Expired,6,47,478399
MarutiRitzVXIBS,114109,2010,First Owner,Petrol,MANUAL,17/09/2021,7,44,196999
MarutiSwiftVDI,70952,2015,First Owner,Diesel,MANUAL,17/07/2021,6,47,566399
MarutiSwiftDzireVDIBS,80394,2013,First Owner,Diesel,MANUAL,30/01/2021,16,39,335599
MarutiRitzVXI,56276,2009,Second Owner,Petrol,MANUAL,25/01/2021,49,43,208199
HyundaiElitei20MAGNA1.4,110531,2015,First Owner,Diesel,MANUAL,10/06/2021,2,49,588399
HyundaiGrandi10ERA1.2,23794,2014,Second Owner,Petrol,MANUAL,24/06/2021,16,46,345799
MarutiWagonR1.0LXI,88514,2015,Second Owner,Petrol + CNG,MANUAL,26/07/2021,13,44,242499
HondaCitySMT,76901,2009,First Owner,Petrol,MANUAL,05/05/2021,5,41,242299
MarutiSwiftVXI,103401,2008,Third Owner,Petrol,MANUAL,14/03/2021,4,4,241699
HyundaiSantroXingGL,55945,2011,First Owner,Petrol,MANUAL,20/10/2021,13,42,288099
HyundaiGrandi10MAGNA1.2,106064,2013,First Owner,Petrol,MANUAL,27/02/2021,5,42,303399
HyundaiElitei20SPORTZ,35153,2016,First Owner,Petrol,MANUAL,12/10/2021,10,49,544699
MarutiSwiftDzireVXI1.2BS,135829,2013,Second Owner,Petrol,MANUAL,Expired,4,38,354699
HyundaiElitei20SPORTZ,58361,2016,Second Owner,Petrol + CNG,MANUAL,14/04/2021,8,47,552899
MarutiRitzVXIBS,45465,2014,Second Owner,Petrol,MANUAL,06/07/2021,2,45,294599
HyundaiVernaFLUIDIC1.6SX,49718,2013,First Owner,Diesel,MANUAL,30/01/2021,16,43,415499
MarutiEeco5STRWITHAC,32883,2017,First Owner,Petrol,MANUAL,19/09/2021,12,43,389899
HyundaiSantroXingXOERLXEURO,82791,2007,First Owner,Petrol,MANUAL,25/05/2021,8,43,215599
Hyundaii20MAGNAO,71611,2011,Second Owner,Petrol,MANUAL,31/07/2021,9,41,235699
MarutiCiazVDI,103867,2014,First Owner,Diesel,MANUAL,05/01/2022,4,43,491399
HyundaiElitei20SPORTZ,109448,2016,First Owner,Diesel,MANUAL,25/10/2021,22,45,554899
MarutiSwiftDzire,97436,2010,First Owner,Diesel,MANUAL,28/10/2021,22,42,281499
MarutiAStar,68714,2010,Second Owner,Petrol,MANUAL,21/09/2021,19,42,199899
MahindraScorpio,72706,2017,First Owner,Diesel,MANUAL,13/03/2021,10,43,1117599
MarutiSwiftDzire,89412,2008,Second Owner,Petrol,MANUAL,Expired,6,45,193499
ToyotaEtios,170425,2011,First Owner,Petrol,MANUAL,10/04/2021,5,42,262499
RenaultDusterRXZ85PS,32783,2017,First Owner,Diesel,MANUAL,23/02/2021,5,44,867399
MarutiVitaraBrezza,4566,2019,First Owner,Diesel,MANUAL,06/01/2023,12,49,935399
MarutiDzireVDI,13492,2018,First Owner,Diesel,AUTOMATIC,11/11/2021,13,49,653399
MarutiCelerioVXI,20324,2018,First Owner,Petrol + CNG,MANUAL,Expired,12,45,475299
MarutiErtiga,62769,2014,First Owner,Petrol,MANUAL,01/06/2021,6,41,479999
HondaBrio1.2SMTI,29104,2015,First Owner,Petrol,MANUAL,30/06/2021,17,45,338799
MarutiSwiftDzireVDIBS,95472,2012,First Owner,Diesel,MANUAL,22/11/2021,10,42,333099
HondaCityVXMT,90509,2015,First Owner,Petrol,MANUAL,30/12/2021,10,43,606399
DatsunGoREMIX,34119,2018,First Owner,Petrol,TN02,Zero_Dep,24,44,330699
MarutiSwift,27055,2019,First Owner,Petrol,MANUAL,01/11/2021,10,49,661399
MarutiRitz,16061,2012,First Owner,Diesel,MANUAL,08/12/2021,4,44,271499
SkodaLauraAMBITION2.0TDICR,109457,2012,Second Owner,Diesel,MANUAL,Expired,5,42,322499
MarutiWagonR1.0,62834,2010,Third Owner,Petrol + CNG,MANUAL,19/02/2021,13,42,149181
DatsunGoREMIX,19549,2018,First Owner,Petrol,GJ27,Zero_Dep,8,46,283090
MarutiAlto800,3495,2019,First Owner,Petrol,MANUAL,08/04/2021,5,49,324399
HondaBrio1.2SMTI,23210,2012,First Owner,Petrol,MANUAL,27/12/2020,8,46,277599
HondaCitySVMT,52528,2016,First Owner,Petrol,MANUAL,08/01/2022,11,48,731019
HyundaiElitei20SPORTZ,13900,2016,First Owner,Petrol,MANUAL,09/10/2021,3,49,522366
HyundaiVerna1.6SX(O)CRDI,50529,2017,First Owner,Diesel,MH12,Zero_Dep,5,47,955799
VolkswagenPoloCOMFORTLINE1.2L,45711,2010,First Owner,Petrol,MANUAL,15/01/2022,8,45,7
MarutiBalenoDELTADDIS,24274,2018,First Owner,Diesel,MANUAL,25/04/2021,11,46,600399
MarutiSwift,60626,2012,First Owner,Petrol,MANUAL,08/01/2022,16,43,461122
MarutiWagonR1.0LXI,29735,2017,Second Owner,Petrol + CNG,MANUAL,18/09/2021,7,43,381699
ToyotaEtiosVX,56782,2015,First Owner,Diesel,MANUAL,28/02/2021,9,48,472499
MarutiEeco5STRWITHAC,29027,2015,First Owner,Petrol,MANUAL,27/04/2021,7,45,343299
MahindraKuv100K6D6,38594,2016,First Owner,Diesel,MANUAL,05/05/2021,12,43,404786
HondaBrio1.2SMTI,43702,2013,Third Owner,Petrol,MANUAL,26/12/2021,32,42,301299
MarutiSwift,68628,2014,First Owner,Diesel,MANUAL,21/05/2021,15,46,376199
MarutiErtigaVDI,69604,2018,First Owner,Diesel,MANUAL,Expired,13,43,748899
VolkswagenPoloHIGHLINE1.2L,125435,2010,First Owner,Petrol,MANUAL,02/11/2021,3,42,320699
HondaCitySMT,85362,2009,Second Owner,Petrol,MANUAL,Expired,4,44,257599
MarutiAltoK10VXI(O),39845,2018,First Owner,Petrol,DL2C,Third_party,5,49,388899
HyundaiCreta1.6SX,67987,2016,First Owner,Diesel,HR26,Zero_Dep,7,45,1017499
MarutiSwiftDzireVXI1.2BS,90479,2011,First Owner,Petrol,MANUAL,19/02/2021,13,43,282096
MarutiSwiftDzireLDIBS,123363,2014,Second Owner,Diesel,MANUAL,27/08/2021,18,42,340899
MarutiEeco5STRWITHAC,50754,2014,First Owner,Petrol,MANUAL,28/10/2021,4,38,278999
MarutiWagonR1.0,93112,2010,First Owner,Petrol,MANUAL,07/09/2021,8,45,235499
HyundaiEonERA,50877,2012,First Owner,Petrol + CNG,MANUAL,22/01/2022,5,42,202699
MarutiCiazZETA1.5SHVSVVT,11400,2018,First Owner,Petrol,HR26,Zero_Dep,2,49,936799
Hyundaii20ASTA1.4,68559,2012,First Owner,Diesel,MANUAL,19/02/2021,12,43,356499
MarutiAlto,41402,2011,First Owner,Petrol,MANUAL,29/03/2021,19,45,156299
VolkswagenJettaCOMFORTLINE2.0L,105572,2012,Second Owner,Diesel,MANUAL,27/02/2021,1,44,382199
HyundaiGrandi10SPORTZ1.2KAPPA,25338,2016,First Owner,Petrol,MANUAL,06/02/2021,7,49,480299
HyundaiEonMAGNA,28323,2014,First Owner,Petrol,MANUAL,05/11/2021,18,45,211499
MarutiSwift,111379,2013,First Owner,Petrol,MANUAL,28/12/2021,27,44,377899
MarutiWagonR1.0LXI,153709,2013,First Owner,Petrol + CNG,MANUAL,25/05/2021,6,41,181999
Hyundaii10SPORTZ1.2AT,22768,2013,First Owner,Petrol,AUTOMATIC,28/06/2021,19,43,408899
VolkswagenPoloCOMFORTLINE1.5L,133921,2015,First Owner,Diesel,MANUAL,18/01/2022,17,4,424499
SkodaRapid1.5TDIMT,40267,2017,First Owner,Diesel,MANUAL,16/10/2021,13,49,5
RenaultDusterRXLAMT110,85369,2016,First Owner,Diesel,AUTOMATIC,10/02/2021,3,42,495299
MahindraScorpio,23836,2017,First Owner,Diesel,MANUAL,16/04/2021,4,46,1192799
MarutiWagonR1.0,30361,2013,First Owner,Petrol,MANUAL,05/03/2021,30,45,346677
MarutiDzire,12400,2017,First Owner,Petrol,MANUAL,20/09/2020,11,48,583799
TataHexaVaricor400,27929,2018,First Owner,Diesel,AUTOMATIC,31/07/2021,9,5,1380699
MarutiRitz,80575,2012,Second Owner,Diesel,MANUAL,01/06/2021,5,43,224999
MarutiSCrossZETA,42045,2017,First Owner,Diesel,MANUAL,Expired,1,46,681399
MarutiRitz,72428,2012,First Owner,Diesel,MANUAL,20/06/2021,5,41,212299
HyundaiSantroXing,98143,2010,First Owner,Petrol,MANUAL,11/04/2021,7,41,145999
MarutiSwiftDzireVDIBS,98618,2012,First Owner,Diesel,MANUAL,12/02/2021,22,43,353768
MarutiRitz,97984,2013,First Owner,Diesel,MANUAL,09/04/2021,15,42,216799
HyundaiVernaFLUIDIC1.6SXVTVT,51641,2013,First Owner,Petrol,MANUAL,08/10/2021,3,44,430799
MarutiSwiftVXI,94628,2018,First Owner,Petrol + CNG,AUTOMATIC,21/02/2021,2,45,504737
MarutiEeco5STRCNGWITHAC,45174,2015,First Owner,Petrol + CNG,MANUAL,31/12/2020,4,47,316653
ToyotaCorollaAltisVL,86288,2011,Second Owner,Petrol,AUTOMATIC,10/06/2021,9,43,462199
Hyundaii10MAGNA1.2,11234,2011,First Owner,Petrol,MANUAL,04/01/2021,14,44,343199
MahindraTUV300,36705,2015,First Owner,Diesel,MANUAL,04/11/2021,9,46,635099
HondaCityVXMT,28410,2015,Second Owner,Petrol,MANUAL,28/12/2021,15,46,726106
MarutiVitaraBrezzaZDI,20273,2019,First Owner,Diesel,MANUAL,04/02/2021,6,5,932099
MarutiWagonR,54572,2008,First Owner,Petrol,MANUAL,22/10/2021,24,41,202999
VolkswagenVentoHIGHLINE,87834,2013,First Owner,Diesel,MANUAL,11/04/2021,4,49,341799
MarutiAlto800,33341,2015,First Owner,Petrol,MANUAL,30/12/2020,10,47,223399
HyundaiSantroXingGL,136543,2011,First Owner,Petrol + CNG,MANUAL,08/11/2020,4,43,193780
FordFigo1.2ZXI,102644,2010,Second Owner,Petrol,MANUAL,24/11/2021,10,37,231199
MarutiNewWagon-RVXI,44040,2019,First Owner,Petrol,DL12,Zero_Dep,3,49,473490
MarutiWagonR1.0LXI,88691,2012,Second Owner,Petrol + CNG,MANUAL,15/10/2021,8,44,239499
MahindraTharCRDE4X4BS,7961,2019,First Owner,Diesel,MANUAL,26/05/2021,6,48,4
MarutiSwiftDzireVDIBS,57730,2012,First Owner,Diesel,MANUAL,29/11/2021,4,44,326199
MarutiSwiftDzire,72105,2012,First Owner,Diesel,MANUAL,17/03/2021,4,42,384599
VolkswagenPoloHIGHLINE1.2L,50372,2011,Second Owner,Petrol,MANUAL,09/07/2021,15,42,317799
HondaCityVXMTO,93031,2016,First Owner,Diesel,MANUAL,30/03/2021,8,46,706899
Hyundaii20ASTA,46121,2012,Third Owner,Petrol,MANUAL,15/09/2021,15,43,283400
HyundaiEonERA,57951,2012,Third Owner,Petrol,MANUAL,07/01/2022,6,37,193582
MarutiAltoK10VXI,26025,2015,Second Owner,Petrol,MH12,Comp,8,43,310199
HondaBrio1.2SMTI,64537,2013,First Owner,Petrol,MANUAL,17/09/2021,7,41,306599
MarutiIGNISDELTA1.2K12,17424,2017,First Owner,Petrol,AUTOMATIC,31/12/2020,15,48,502199
VolkswagenVentoHIGHLINE,87793,2010,First Owner,Petrol,MANUAL,Expired,13,41,244349
MarutiErtiga,81227,2012,Second Owner,Diesel,MANUAL,Expired,10,41,380599
MarutiAlto800,3201,2017,First Owner,Petrol,MANUAL,15/11/2021,10,49,332799
HyundaiSantroXing,82748,2009,Second Owner,Petrol + LPG,MANUAL,Expired,11,4,210099
HyundaiSantroXingGL,60908,2012,First Owner,Petrol,MANUAL,18/08/2021,16,38,177499
VolkswagenPoloCOMFORTLINE1.2L,63748,2013,First Owner,Petrol,MANUAL,28/06/2021,7,4,256399
AudiQ335TDI,87155,2015,First Owner,Diesel,AUTOMATIC,26/04/2021,2,44,1608699
AudiQ335TDI,30500,2015,First Owner,Diesel,AUTOMATIC,16/03/2021,5,48,1697199
MarutiEeco5STRCNGWITHAC,72425,2017,First Owner,Petrol + CNG,MANUAL,Expired,8,44,399799
HyundaiVernaFLUIDIC1.6EXCRDI,119439,2013,Second Owner,Diesel,AUTOMATIC,27/03/2021,5,43,377499
MarutiVitaraBrezza,60027,2016,First Owner,Diesel,MANUAL,Expired,8,45,598699
FordEcosport1.5TITANIUMTIVCT,71487,2014,Second Owner,Petrol,AUTOMATIC,Expired,28,45,544299
MarutiZenEstilo,31830,2011,Second Owner,Petrol,MANUAL,03/01/2021,14,44,214499
DatsunGo,27123,2014,First Owner,Petrol,MANUAL,Expired,5,35,189299
MarutiSwift,112723,2012,First Owner,Diesel,MANUAL,Expired,5,45,301899
HondaAmaze1.2EMTI,45940,2015,First Owner,Petrol,MANUAL,08/11/2021,7,43,371299
MarutiCelerioZXI,25538,2017,First Owner,Petrol,AUTOMATIC,Expired,16,46,396899
BMW3Series320D,104921,2012,Third Owner,Diesel,AUTOMATIC,18/12/2020,29,45,954099
Hyundaii10MAGNA1.1,31584,2014,First Owner,Petrol,MANUAL,06/12/2021,1,43,306799
MarutiWagonR1.0LXI,26141,2015,First Owner,Petrol + CNG,MANUAL,02/02/2021,5,42,324899
HyundaiCreta1.6SXPLUS,41831,2017,First Owner,Petrol,MANUAL,Zero_Dep,6,49,931399
MarutiAltoK10,19792,2017,Second Owner,Petrol,MANUAL,22/09/2021,3,48,322599
FordEcosport1.5TITANIUMTIVCT,46594,2015,First Owner,Petrol,AUTOMATIC,12/05/2021,19,43,556199
FordEcosport,20861,2018,Second Owner,Petrol,TN06,Third_party,36,49,733290
MarutiSwiftDzireVXI1.2BS,39550,2015,First Owner,Petrol,MANUAL,31/10/2021,10,46,484799
HondaCityZX1.5,188651,2007,First Owner,Petrol,MANUAL,08/08/2021,6,43,125199
VolkswagenPoloHIGHLINE1.2L,45500,2016,First Owner,Petrol,MANUAL,05/04/2021,16,44,466699
MarutiWagonR1.0LXI,28560,2018,First Owner,Petrol + CNG,MANUAL,28/07/2021,7,45,479914
Hyundaii10MAGNA,72565,2009,Second Owner,Petrol,MANUAL,18/05/2021,32,41,149199
